연도,자치구_명칭,승객_수
2021,강남구,2265807
2021,강동구,734603
2021,강북구,765888
2021,강서구,1095324
2021,관악구,1464019
2021,광진구,823515
2021,구로구,1031762
2021,금천구,595493
2021,노원구,938616
2021,도봉구,575012
2021,동대문구,823467
2021,동작구,971233
2021,마포구,1292326
2021,서대문구,840809
2021,서초구,1658704
2021,성동구,847129
2021,성북구,991119
2021,송파구,1449615
2021,양천구,735244
2021,영등포구,1381393
2021,용산구,711197
2021,은평구,954541
2021,종로구,1301849
2021,중구,1383709
2021,중랑구,679114
2022,강남구,261731880
2022,강동구,84136152
2022,강북구,88190101
2022,강서구,124677930
2022,관악구,174329366
2022,광진구,97556854
2022,구로구,112366377
2022,금천구,65283441
2022,노원구,107270696
2022,도봉구,65646193
2022,동대문구,97840816
2022,동작구,113578826
2022,마포구,155648323
2022,서대문구,100581070
2022,서초구,194508282
2022,성동구,97791242
2022,성북구,119138898
2022,송파구,171041919
2022,양천구,82849173
2022,영등포구,160125278
2022,용산구,89569077
2022,은평구,110277584
2022,종로구,163685389
2022,중구,165400026
2022,중랑구,77677587
2023,강남구,278190656
2023,강동구,86541451
2023,강북구,90501403
2023,강서구,131737726
2023,관악구,178524880
2023,광진구,103444563
2023,구로구,118418831
2023,금천구,66972935
2023,노원구,112105094
2023,도봉구,67530479
2023,동대문구,104373061
2023,동작구,117226430
2023,마포구,170206303
2023,서대문구,107958673
2023,서초구,204270647
2023,성동구,104509364
2023,성북구,125105605
2023,송파구,183549122
2023,양천구,86210895
2023,영등포구,171180808
2023,용산구,97412363
2023,은평구,114189970
2023,종로구,176420440
2023,중구,191695215
2023,중랑구,81493710
2024,강남구,285878239
2024,강동구,86115356
2024,강북구,93017744
2024,강서구,136557449
2024,관악구,184717643
2024,광진구,107179699
2024,구로구,125907419
2024,금천구,66169966
2024,노원구,117451742
2024,도봉구,70682725
2024,동대문구,106320592
2024,동작구,121281195
2024,마포구,179228185
2024,서대문구,107540691
2024,서초구,212984352
2024,성동구,110387801
2024,성북구,128552662
2024,송파구,192214150
2024,양천구,89322974
2024,영등포구,177232889
2024,용산구,102896730
2024,은평구,119803149
2024,종로구,175950697
2024,중구,209651373
2024,중랑구,85234270
2025,강남구,73542342
2025,강동구,23486197
2025,강북구,23605036
2025,강서구,34422676
2025,관악구,46940488
2025,광진구,26594102
2025,구로구,31760135
2025,금천구,16349093
2025,노원구,28097713
2025,도봉구,17771559
2025,동대문구,25967228
2025,동작구,30701581
2025,마포구,44892263
2025,서대문구,25709361
2025,서초구,54051330
2025,성동구,28027197
2025,성북구,31942792
2025,송파구,48841839
2025,양천구,22757157
2025,영등포구,44124653
2025,용산구,26247445
2025,은평구,30702392
2025,종로구,43501139
2025,중구,55825327
2025,중랑구,21657540
